"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5278","testCalculatorOperations","Suite","Sun Apr 27 22:34:41 GMT 2025","passed","Sun Apr 27 22:34:46 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3027","testCalculatorOperations","Suite","Sun Apr 27 22:35:00 GMT 2025","passed","Sun Apr 27 22:35:03 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5638","testCalculatorOperations","Suite","Sun Apr 27 22:33:54 GMT 2025","passed","Sun Apr 27 22:34:00 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4","testCalculatorOperations","Suite","Sun Apr 27 22:35:03 GMT 2025","passed","Sun Apr 27 22:35:03 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5566","testCalculatorOperations","Suite","Sun Apr 27 22:34:13 GMT 2025","passed","Sun Apr 27 22:34:19 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4345","testCalculatorOperations","Suite","Sun Apr 27 22:34:25 GMT 2025","passed","Sun Apr 27 22:34:29 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3735","testCalculatorOperations","Suite","Sun Apr 27 22:34:57 GMT 2025","passed","Sun Apr 27 22:35:01 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3","testCalculatorOperations","Suite","Sun Apr 27 22:35:04 GMT 2025","passed","Sun Apr 27 22:35:04 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","6219","testCalculatorOperations","Suite","Sun Apr 27 22:33:48 GMT 2025","passed","Sun Apr 27 22:33:54 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7103","testCalculatorOperations","Suite","Sun Apr 27 22:34:06 GMT 2025","passed","Sun Apr 27 22:34:13 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Sun Apr 27 22:28:41 GMT 2025","skipped","Sun Apr 27 22:28:41 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
