"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7680","testCalculatorOperations","Suite","Tue Apr 22 00:06:28 GMT 2025","passed","Tue Apr 22 00:06:35 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Tue Apr 22 00:06:41 GMT 2025","skipped","Tue Apr 22 00:06:41 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","preCondition","Suite","Tue Apr 22 00:06:41 GMT 2025","broken","Tue Apr 22 00:06:41 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","preCondition"
