"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testCalculatorOperations","Suite","Mon Apr 21 22:54:24 GMT 2025","skipped","Mon Apr 21 22:54:24 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","preCondition","Suite","Mon Apr 21 22:54:24 GMT 2025","broken","Mon Apr 21 22:54:24 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","preCondition"
"","7074","testCalculatorOperations","Suite","Mon Apr 21 22:54:13 GMT 2025","passed","Mon Apr 21 22:54:20 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
