"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15943","testCalculatorOperations","Suite","Tue Apr 22 00:00:37 GMT 2025","passed","Tue Apr 22 00:00:53 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","preCondition","Suite","Mon Apr 21 23:58:10 GMT 2025","broken","Mon Apr 21 23:58:10 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","preCondition"
"","17711","testCalculatorOperations","Suite","Mon Apr 21 23:59:22 GMT 2025","passed","Mon Apr 21 23:59:39 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","8053","testCalculatorOperations","Suite","Mon Apr 21 23:57:58 GMT 2025","passed","Mon Apr 21 23:58:06 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Mon Apr 21 23:58:10 GMT 2025","skipped","Mon Apr 21 23:58:10 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
