"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23125","testCalculatorOperations","Suite","Tue Apr 22 13:55:02 GMT 2025","passed","Tue Apr 22 13:55:25 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","21098","testCalculatorOperations","Suite","Tue Apr 22 13:56:41 GMT 2025","passed","Tue Apr 22 13:57:02 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7634","testCalculatorOperations","Suite","Tue Apr 22 13:58:03 GMT 2025","passed","Tue Apr 22 13:58:11 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7706","testCalculatorOperations","Suite","Tue Apr 22 13:58:02 GMT 2025","passed","Tue Apr 22 13:58:10 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
