"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12816","testCalculatorOperations","Suite","Sat Apr 26 23:16:26 GMT 2025","passed","Sat Apr 26 23:16:39 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","12635","testCalculatorOperations","Suite","Sat Apr 26 23:17:30 GMT 2025","passed","Sat Apr 26 23:17:42 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7117","testCalculatorOperations","Suite","Sat Apr 26 23:20:07 GMT 2025","passed","Sat Apr 26 23:20:14 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5187","testCalculatorOperations","Suite","Sat Apr 26 23:20:02 GMT 2025","passed","Sat Apr 26 23:20:07 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5804","testCalculatorOperations","Suite","Sat Apr 26 23:19:28 GMT 2025","passed","Sat Apr 26 23:19:33 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","12645","testCalculatorOperations","Suite","Sat Apr 26 23:17:03 GMT 2025","passed","Sat Apr 26 23:17:15 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","13941","testCalculatorOperations","Suite","Sat Apr 26 23:23:25 GMT 2025","passed","Sat Apr 26 23:23:39 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5432","testCalculatorOperations","Suite","Sat Apr 26 23:19:22 GMT 2025","passed","Sat Apr 26 23:19:28 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","11037","testCalculatorOperations","Suite","Sat Apr 26 23:15:45 GMT 2025","passed","Sat Apr 26 23:15:56 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Sat Apr 26 23:20:25 GMT 2025","passed","Sat Apr 26 23:20:25 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
