"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7925","testCalculatorOperations","Suite","Tue Apr 22 14:05:02 GMT 2025","passed","Tue Apr 22 14:05:10 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14239","testCalculatorOperations","Suite","Tue Apr 22 14:05:26 GMT 2025","passed","Tue Apr 22 14:05:40 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5485","testCalculatorOperations","Suite","Tue Apr 22 14:05:42 GMT 2025","passed","Tue Apr 22 14:05:48 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4898","testCalculatorOperations","Suite","Tue Apr 22 14:05:21 GMT 2025","passed","Tue Apr 22 14:05:26 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5910","testCalculatorOperations","Suite","Tue Apr 22 14:06:02 GMT 2025","passed","Tue Apr 22 14:06:07 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","8","testCalculatorOperations","Suite","Tue Apr 22 14:06:29 GMT 2025","passed","Tue Apr 22 14:06:29 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Tue Apr 22 14:05:50 GMT 2025","passed","Tue Apr 22 14:05:50 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17944","testCalculatorOperations","Suite","Tue Apr 22 14:08:01 GMT 2025","passed","Tue Apr 22 14:08:19 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3399","testCalculatorOperations","Suite","Tue Apr 22 14:06:23 GMT 2025","passed","Tue Apr 22 14:06:27 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","24988","testCalculatorOperations","Suite","Tue Apr 22 14:04:46 GMT 2025","passed","Tue Apr 22 14:05:11 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","29411","testCalculatorOperations","Suite","Tue Apr 22 14:11:08 GMT 2025","passed","Tue Apr 22 14:11:38 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","23023","testCalculatorOperations","Suite","Tue Apr 22 14:10:25 GMT 2025","passed","Tue Apr 22 14:10:48 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","6757","testCalculatorOperations","Suite","Tue Apr 22 14:05:32 GMT 2025","passed","Tue Apr 22 14:05:39 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17619","testCalculatorOperations","Suite","Tue Apr 22 14:01:47 GMT 2025","passed","Tue Apr 22 14:02:05 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7308","testCalculatorOperations","Suite","Tue Apr 22 14:05:59 GMT 2025","passed","Tue Apr 22 14:06:06 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2603","testCalculatorOperations","Suite","Tue Apr 22 14:06:27 GMT 2025","passed","Tue Apr 22 14:06:29 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5035","testCalculatorOperations","Suite","Tue Apr 22 14:06:07 GMT 2025","passed","Tue Apr 22 14:06:13 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","20183","testCalculatorOperations","Suite","Tue Apr 22 14:09:06 GMT 2025","passed","Tue Apr 22 14:09:26 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5350","testCalculatorOperations","Suite","Tue Apr 22 14:06:06 GMT 2025","passed","Tue Apr 22 14:06:11 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17634","testCalculatorOperations","Suite","Tue Apr 22 14:11:55 GMT 2025","passed","Tue Apr 22 14:12:13 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","20452","testCalculatorOperations","Suite","Tue Apr 22 14:10:48 GMT 2025","passed","Tue Apr 22 14:11:08 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4532","testCalculatorOperations","Suite","Tue Apr 22 14:05:57 GMT 2025","passed","Tue Apr 22 14:06:02 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","26184","testCalculatorOperations","Suite","Tue Apr 22 14:08:40 GMT 2025","passed","Tue Apr 22 14:09:06 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Tue Apr 22 14:12:26 GMT 2025","passed","Tue Apr 22 14:12:26 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","10111","testCalculatorOperations","Suite","Tue Apr 22 14:05:40 GMT 2025","passed","Tue Apr 22 14:05:50 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17230","testCalculatorOperations","Suite","Tue Apr 22 14:04:28 GMT 2025","passed","Tue Apr 22 14:04:46 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14781","testCalculatorOperations","Suite","Tue Apr 22 14:03:36 GMT 2025","passed","Tue Apr 22 14:03:51 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Tue Apr 22 14:06:28 GMT 2025","passed","Tue Apr 22 14:06:28 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14781","testCalculatorOperations","Suite","Tue Apr 22 14:05:11 GMT 2025","passed","Tue Apr 22 14:05:26 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17428","testCalculatorOperations","Suite","Tue Apr 22 14:09:46 GMT 2025","passed","Tue Apr 22 14:10:04 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5275","testCalculatorOperations","Suite","Tue Apr 22 14:05:39 GMT 2025","passed","Tue Apr 22 14:05:44 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5162","testCalculatorOperations","Suite","Tue Apr 22 14:05:44 GMT 2025","passed","Tue Apr 22 14:05:49 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","19869","testCalculatorOperations","Suite","Tue Apr 22 14:09:26 GMT 2025","passed","Tue Apr 22 14:09:46 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3882","testCalculatorOperations","Suite","Tue Apr 22 14:06:19 GMT 2025","passed","Tue Apr 22 14:06:23 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7357","testCalculatorOperations","Suite","Tue Apr 22 14:05:35 GMT 2025","passed","Tue Apr 22 14:05:42 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17239","testCalculatorOperations","Suite","Tue Apr 22 14:03:01 GMT 2025","passed","Tue Apr 22 14:03:18 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7392","testCalculatorOperations","Suite","Tue Apr 22 14:06:11 GMT 2025","passed","Tue Apr 22 14:06:19 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5239","testCalculatorOperations","Suite","Tue Apr 22 14:05:53 GMT 2025","passed","Tue Apr 22 14:05:59 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","23726","testCalculatorOperations","Suite","Tue Apr 22 14:07:17 GMT 2025","passed","Tue Apr 22 14:07:40 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5625","testCalculatorOperations","Suite","Tue Apr 22 14:05:26 GMT 2025","passed","Tue Apr 22 14:05:32 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17419","testCalculatorOperations","Suite","Tue Apr 22 14:03:51 GMT 2025","passed","Tue Apr 22 14:04:08 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
