"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17359","testCalculatorOperations","Suite","Tue Apr 22 12:29:30 GMT 2025","passed","Tue Apr 22 12:29:47 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7757","testCalculatorOperations","Suite","Tue Apr 22 12:26:42 GMT 2025","passed","Tue Apr 22 12:26:49 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7437","testCalculatorOperations","Suite","Tue Apr 22 12:26:46 GMT 2025","passed","Tue Apr 22 12:26:53 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","15132","testCalculatorOperations","Suite","Tue Apr 22 12:28:17 GMT 2025","passed","Tue Apr 22 12:28:33 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
