"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","preCondition","Suite","Tue Apr 22 00:48:42 GMT 2025","broken","Tue Apr 22 00:48:42 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","preCondition"
"","7482","testCalculatorOperations","Suite","Tue Apr 22 00:48:30 GMT 2025","passed","Tue Apr 22 00:48:37 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Tue Apr 22 00:48:42 GMT 2025","skipped","Tue Apr 22 00:48:42 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14353","testCalculatorOperations","Suite","Tue Apr 22 00:50:03 GMT 2025","passed","Tue Apr 22 00:50:18 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17142","testCalculatorOperations","Suite","Tue Apr 22 00:51:05 GMT 2025","passed","Tue Apr 22 00:51:22 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
