"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","preCondition","Suite","Mon Apr 21 23:51:04 GMT 2025","broken","Mon Apr 21 23:51:04 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","preCondition"
"","6926","testCalculatorOperations","Suite","Mon Apr 21 23:50:52 GMT 2025","passed","Mon Apr 21 23:50:59 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","0","testCalculatorOperations","Suite","Mon Apr 21 23:51:04 GMT 2025","skipped","Mon Apr 21 23:51:04 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
